-,60,_
2614,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:799,force_strike:467,skill_1:1059,skill_2:0,skill_3:0,team_buff:0,s2_fs:57,s1_boost:230
1836,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:962,force_strike:0,skill_1:874,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,k
2876,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:878,force_strike:514,skill_1:1165,skill_2:0,skill_3:0,team_buff:0,s2_fs:63,s1_boost:253
2020,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1058,force_strike:0,skill_1:962,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,r
2817,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:799,force_strike:467,skill_1:1218,skill_2:0,skill_3:0,team_buff:0,s2_fs:66,s1_boost:265
1968,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:962,force_strike:0,skill_1:1005,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,kr
3098,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:878,force_strike:514,skill_1:1340,skill_2:0,skill_3:0,team_buff:0,s2_fs:72,s1_boost:292
2164,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1058,force_strike:0,skill_1:1106,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,d
2781,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:850,force_strike:497,skill_1:1127,skill_2:0,skill_3:0,team_buff:0,s2_fs:61,s1_boost:245
1957,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1025,force_strike:0,skill_1:931,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,kd
3059,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:935,force_strike:547,skill_1:1239,skill_2:0,skill_3:0,team_buff:0,s2_fs:67,s1_boost:270
2153,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1128,force_strike:0,skill_1:1024,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,b
2614,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:799,force_strike:467,skill_1:1059,skill_2:0,skill_3:0,team_buff:0,s2_fs:57,s1_boost:230
1836,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:962,force_strike:0,skill_1:874,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,kb
2876,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:878,force_strike:514,skill_1:1165,skill_2:0,skill_3:0,team_buff:0,s2_fs:63,s1_boost:253
2020,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1058,force_strike:0,skill_1:962,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,rd
2996,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:850,force_strike:497,skill_1:1296,skill_2:0,skill_3:0,team_buff:0,s2_fs:70,s1_boost:282
2097,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1025,force_strike:0,skill_1:1071,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,krd
3296,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:935,force_strike:547,skill_1:1425,skill_2:0,skill_3:0,team_buff:0,s2_fs:77,s1_boost:310
2306,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1128,force_strike:0,skill_1:1178,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,rb
2817,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:799,force_strike:467,skill_1:1218,skill_2:0,skill_3:0,team_buff:0,s2_fs:66,s1_boost:265
1968,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:962,force_strike:0,skill_1:1005,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,krb
3098,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:878,force_strike:514,skill_1:1340,skill_2:0,skill_3:0,team_buff:0,s2_fs:72,s1_boost:292
2164,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1058,force_strike:0,skill_1:1106,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,db
2781,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:850,force_strike:497,skill_1:1127,skill_2:0,skill_3:0,team_buff:0,s2_fs:61,s1_boost:245
1957,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr],!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1025,force_strike:0,skill_1:931,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,kdb
3059,Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:935,force_strike:547,skill_1:1239,skill_2:0,skill_3:0,team_buff:0,s2_fs:67,s1_boost:270
2153,_c_Hawk,5星,风,弓,2982,[RR+FoG][Zephyr];dpsrange:(0~0),!<c4+fs & hp70 & fullhp=stun & hit15 & 80 resist>,,attack:1128,force_strike:0,skill_1:1024,skill_2:0,skill_3:0,team_buff:0,s1_boost:0
-,60,rdb
