-,60,_
4627,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3441~5027),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1173,force_strike:31,skill_1:1873,skill_2:0,skill_3:325,team_buff:0,s1_poison:75,bleed:1148
3891,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2762~4234),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1002,force_strike:27,skill_1:1601,skill_2:0,skill_3:278,team_buff:0,s1_poison:0,bleed:981
-,60,k
4627,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3441~5027),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1173,force_strike:31,skill_1:1873,skill_2:0,skill_3:325,team_buff:0,s1_poison:75,bleed:1148
3891,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2762~4234),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1002,force_strike:27,skill_1:1601,skill_2:0,skill_3:278,team_buff:0,s1_poison:0,bleed:981
-,60,r
5099,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3630~5600),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1172,force_strike:31,skill_1:2152,skill_2:0,skill_3:374,team_buff:0,s1_poison:86,bleed:1281
4324,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3160~4714),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1002,force_strike:27,skill_1:1841,skill_2:0,skill_3:319,team_buff:0,s1_poison:0,bleed:1132
-,60,kr
5099,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3630~5600),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1172,force_strike:31,skill_1:2152,skill_2:0,skill_3:374,team_buff:0,s1_poison:86,bleed:1281
4324,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3160~4714),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1002,force_strike:27,skill_1:1841,skill_2:0,skill_3:319,team_buff:0,s1_poison:0,bleed:1132
-,60,d
4917,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3522~5356),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1249,force_strike:33,skill_1:1995,skill_2:0,skill_3:346,team_buff:0,s1_poison:80,bleed:1211
4134,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2953~4526),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1071,force_strike:29,skill_1:1711,skill_2:0,skill_3:297,team_buff:0,s1_poison:0,bleed:1024
-,60,kd
4917,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3522~5356),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1249,force_strike:33,skill_1:1995,skill_2:0,skill_3:346,team_buff:0,s1_poison:80,bleed:1211
4134,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2953~4526),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1071,force_strike:29,skill_1:1711,skill_2:0,skill_3:297,team_buff:0,s1_poison:0,bleed:1024
-,60,b
4726,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3324~5068),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1173,force_strike:8,skill_1:1906,skill_2:0,skill_3:331,team_buff:0,s1_poison:76,bleed:1229
3978,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2777~4268),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1003,force_strike:7,skill_1:1630,skill_2:0,skill_3:283,team_buff:0,s1_poison:0,bleed:1054
-,60,kb
4726,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3324~5068),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1173,force_strike:8,skill_1:1906,skill_2:0,skill_3:331,team_buff:0,s1_poison:76,bleed:1229
3978,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2777~4268),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1003,force_strike:7,skill_1:1630,skill_2:0,skill_3:283,team_buff:0,s1_poison:0,bleed:1054
-,60,rd
5458,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3867~5966),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1249,force_strike:33,skill_1:2294,skill_2:0,skill_3:398,team_buff:0,s1_poison:92,bleed:1390
4607,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3238~5039),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1072,force_strike:29,skill_1:1968,skill_2:0,skill_3:342,team_buff:0,s1_poison:0,bleed:1195
-,60,krd
5458,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3867~5966),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1249,force_strike:33,skill_1:2294,skill_2:0,skill_3:398,team_buff:0,s1_poison:92,bleed:1390
4607,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3238~5039),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1072,force_strike:29,skill_1:1968,skill_2:0,skill_3:342,team_buff:0,s1_poison:0,bleed:1195
-,60,rb
5266,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3653~5651),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1174,force_strike:8,skill_1:2193,skill_2:0,skill_3:381,team_buff:0,s1_poison:88,bleed:1420
4415,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3049~4757),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1003,force_strike:7,skill_1:1874,skill_2:0,skill_3:325,team_buff:0,s1_poison:0,bleed:1204
-,60,krb
5266,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3653~5651),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1174,force_strike:8,skill_1:2193,skill_2:0,skill_3:381,team_buff:0,s1_poison:88,bleed:1420
4415,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3049~4757),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1003,force_strike:7,skill_1:1874,skill_2:0,skill_3:325,team_buff:0,s1_poison:0,bleed:1204
-,60,db
5031,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3541~5401),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1251,force_strike:8,skill_1:2031,skill_2:0,skill_3:352,team_buff:0,s1_poison:81,bleed:1305
4233,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2968~4563),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1073,force_strike:7,skill_1:1742,skill_2:0,skill_3:302,team_buff:0,s1_poison:0,bleed:1107
-,60,kdb
5031,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3541~5401),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1251,force_strike:8,skill_1:2031,skill_2:0,skill_3:352,team_buff:0,s1_poison:81,bleed:1305
4233,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(2968~4563),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1073,force_strike:7,skill_1:1742,skill_2:0,skill_3:302,team_buff:0,s1_poison:0,bleed:1107
-,60,rdb
5589,Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(4060~6021),<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1250,force_strike:8,skill_1:2334,skill_2:0,skill_3:405,team_buff:0,s1_poison:94,bleed:1496
4712,_c_Addis,4*,wind,blade,2362,[Resounding_Rendition+Crystalian_Envoy][Vayu];dpsrange:(3260~5086),!<hp70 & 0 resist>,s2 c2 s1 c5fsf c4fs s1; hold s2s1 until bleed under 3,attack:1073,force_strike:7,skill_1:2004,skill_2:0,skill_3:348,team_buff:0,s1_poison:0,bleed:1279
-,60,krdb
