-,60,_
3784,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:787,force_strike:354,skill_1:1823,skill_2:0,skill_3:0,team_buff:0,team_energy:200,s1_energized:125,s1_boost_energized:91,s1_boost:402
2485,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:641,force_strike:294,skill_1:1549,skill_2:0,skill_3:0,team_buff:0
-,60,k
4163,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:866,force_strike:389,skill_1:2005,skill_2:0,skill_3:0,team_buff:0,team_energy:220,s1_energized:137,s1_boost_energized:100,s1_boost:442
2734,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:705,force_strike:324,skill_1:1704,skill_2:0,skill_3:0,team_buff:0
-,60,r
4180,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:787,force_strike:354,skill_1:2096,skill_2:0,skill_3:0,team_buff:0,team_energy:229,s1_energized:144,s1_boost_energized:105,s1_boost:463
2718,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:641,force_strike:294,skill_1:1782,skill_2:0,skill_3:0,team_buff:0
-,60,kr
4599,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:866,force_strike:389,skill_1:2306,skill_2:0,skill_3:0,team_buff:0,team_energy:253,s1_energized:158,s1_boost_energized:115,s1_boost:509
2990,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:705,force_strike:324,skill_1:1960,skill_2:0,skill_3:0,team_buff:0
-,60,d
4039,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:841,force_strike:378,skill_1:1945,skill_2:0,skill_3:0,team_buff:0,team_energy:214,s1_energized:133,s1_boost_energized:97,s1_boost:429
2657,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:685,force_strike:315,skill_1:1656,skill_2:0,skill_3:0,team_buff:0
-,60,kd
4443,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:925,force_strike:416,skill_1:2140,skill_2:0,skill_3:0,team_buff:0,team_energy:235,s1_energized:146,s1_boost_energized:107,s1_boost:472
2923,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:753,force_strike:346,skill_1:1822,skill_2:0,skill_3:0,team_buff:0
-,60,b
4089,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:832,force_strike:374,skill_1:2011,skill_2:0,skill_3:0,team_buff:0,team_energy:200,s1_energized:131,s1_boost_energized:96,s1_boost:443
2707,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:679,force_strike:312,skill_1:1716,skill_2:0,skill_3:0,team_buff:0
-,60,kb
4498,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:915,force_strike:411,skill_1:2213,skill_2:0,skill_3:0,team_buff:0,team_energy:220,s1_energized:144,s1_boost_energized:105,s1_boost:487
2978,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:747,force_strike:343,skill_1:1887,skill_2:0,skill_3:0,team_buff:0
-,60,rd
4462,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:841,force_strike:378,skill_1:2237,skill_2:0,skill_3:0,team_buff:0,team_energy:246,s1_energized:153,s1_boost_energized:112,s1_boost:493
2905,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:685,force_strike:315,skill_1:1905,skill_2:0,skill_3:0,team_buff:0
-,60,krd
4908,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:925,force_strike:416,skill_1:2461,skill_2:0,skill_3:0,team_buff:0,team_energy:270,s1_energized:168,s1_boost_energized:123,s1_boost:542
3196,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:753,force_strike:346,skill_1:2095,skill_2:0,skill_3:0,team_buff:0
-,60,rb
4521,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:832,force_strike:374,skill_1:2313,skill_2:0,skill_3:0,team_buff:0,team_energy:229,s1_energized:151,s1_boost_energized:110,s1_boost:509
2965,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:679,force_strike:312,skill_1:1973,skill_2:0,skill_3:0,team_buff:0
-,60,krb
4973,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:915,force_strike:411,skill_1:2545,skill_2:0,skill_3:0,team_buff:0,team_energy:253,s1_energized:166,s1_boost_energized:121,s1_boost:560
3261,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:747,force_strike:343,skill_1:2171,skill_2:0,skill_3:0,team_buff:0
-,60,db
4355,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:886,force_strike:398,skill_1:2142,skill_2:0,skill_3:0,team_buff:0,team_energy:214,s1_energized:140,s1_boost_energized:102,s1_boost:471
2888,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:724,force_strike:333,skill_1:1830,skill_2:0,skill_3:0,team_buff:0
-,60,kdb
4791,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:975,force_strike:438,skill_1:2357,skill_2:0,skill_3:0,team_buff:0,team_energy:235,s1_energized:154,s1_boost_energized:112,s1_boost:518
3177,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:796,force_strike:366,skill_1:2013,skill_2:0,skill_3:0,team_buff:0
-,60,rdb
4816,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:886,force_strike:398,skill_1:2464,skill_2:0,skill_3:0,team_buff:0,team_energy:246,s1_energized:161,s1_boost_energized:117,s1_boost:542
3163,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:724,force_strike:333,skill_1:2105,skill_2:0,skill_3:0,team_buff:0
-,60,krdb
5298,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:975,force_strike:438,skill_1:2710,skill_2:0,skill_3:0,team_buff:0,team_energy:270,s1_energized:177,s1_boost_energized:129,s1_boost:596
3479,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:796,force_strike:366,skill_1:2316,skill_2:0,skill_3:0,team_buff:0
-,120,_
4181,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:809,force_strike:372,skill_1:1987,skill_2:0,skill_3:0,team_buff:0,team_energy:200,s1_energized:156,s1_boost_energized:121,s1_boost:534
2430,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:649,force_strike:298,skill_1:1482,skill_2:0,skill_3:0,team_buff:0
-,120,k
4599,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:890,force_strike:409,skill_1:2186,skill_2:0,skill_3:0,team_buff:0,team_energy:220,s1_energized:172,s1_boost_energized:133,s1_boost:587
2673,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:714,force_strike:328,skill_1:1630,skill_2:0,skill_3:0,team_buff:0
-,120,r
4631,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:809,force_strike:372,skill_1:2286,skill_2:0,skill_3:0,team_buff:0,team_energy:229,s1_energized:179,s1_boost_energized:139,s1_boost:614
2652,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:649,force_strike:298,skill_1:1704,skill_2:0,skill_3:0,team_buff:0
-,120,kr
5094,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:890,force_strike:409,skill_1:2514,skill_2:0,skill_3:0,team_buff:0,team_energy:253,s1_energized:197,s1_boost_energized:153,s1_boost:676
2918,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:714,force_strike:328,skill_1:1875,skill_2:0,skill_3:0,team_buff:0
-,120,d
4462,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:863,force_strike:397,skill_1:2121,skill_2:0,skill_3:0,team_buff:0,team_energy:214,s1_energized:166,s1_boost_energized:129,s1_boost:569
2598,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:694,force_strike:319,skill_1:1584,skill_2:0,skill_3:0,team_buff:0
-,120,kd
4908,Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],<hp70 & energy>,,attack:950,force_strike:437,skill_1:2333,skill_2:0,skill_3:0,team_buff:0,team_energy:235,s1_energized:183,s1_boost_energized:142,s1_boost:626
2858,_c_Yaten,5*,shadow,sword,2280,[Heralds_of_Hinomoto+Jewels_of_the_Sun][Shinobi],!<hp70 & energy>,,attack:763,force_strike:351,skill_1:1743,skill_2:0,skill_3:0,team_buff:0
-,120,b
4520,Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],<hp70 & energy>,,attack:853,force_strike:392,skill_1:2192,skill_2:0,skill_3:0,team_buff:0,team_energy:200,s1_energized:164,s1_boost_energized:127,s1_boost:588
2646,_c_Yaten,5*,shadow,sword,2267,[The_Shining_Overlord+Beautiful_Nothingness][Shinobi],!<hp70 & energy>,,attack:687,force_strike:316,skill_1:1641,skill_2:0,skill_3:0,team_buff:0
-,120,kb
