-,60,_
4107,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:423,force_strike:529,skill_1:196,skill_2:141,skill_3:300,team_buff:714,s2_poison:553,s1fs:41,fs_poison:1206
1483,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:387,force_strike:489,skill_1:196,skill_2:120,skill_3:255,team_buff:0,s2_poison:0,s1fs:34,fs_poison:0
-,60,k
4517,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:465,force_strike:582,skill_1:216,skill_2:155,skill_3:330,team_buff:785,s2_poison:608,s1fs:45,fs_poison:1327
1632,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:426,force_strike:538,skill_1:216,skill_2:132,skill_3:280,team_buff:0,s2_poison:0,s1fs:38,fs_poison:0
-,60,r
4349,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:423,force_strike:529,skill_1:225,skill_2:162,skill_3:345,team_buff:771,s2_poison:636,s1fs:47,fs_poison:1206
1574,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:387,force_strike:489,skill_1:225,skill_2:138,skill_3:293,team_buff:0,s2_poison:0,s1fs:40,fs_poison:0
-,60,kr
4784,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:465,force_strike:582,skill_1:248,skill_2:179,skill_3:379,team_buff:848,s2_poison:700,s1fs:52,fs_poison:1327
1732,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:426,force_strike:538,skill_1:248,skill_2:152,skill_3:322,team_buff:0,s2_poison:0,s1fs:44,fs_poison:0
-,60,d
4107,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:423,force_strike:529,skill_1:196,skill_2:141,skill_3:300,team_buff:714,s2_poison:553,s1fs:41,fs_poison:1206
1483,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:387,force_strike:489,skill_1:196,skill_2:120,skill_3:255,team_buff:0,s2_poison:0,s1fs:34,fs_poison:0
-,60,kd
4517,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:465,force_strike:582,skill_1:216,skill_2:155,skill_3:330,team_buff:785,s2_poison:608,s1fs:45,fs_poison:1327
1632,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:426,force_strike:538,skill_1:216,skill_2:132,skill_3:280,team_buff:0,s2_poison:0,s1fs:38,fs_poison:0
-,60,b
3994,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:416,force_strike:491,skill_1:198,skill_2:143,skill_3:281,team_buff:750,s2_poison:558,s1fs:41,fs_poison:1112
1445,_c_Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],!<s1 defdown for 10s & 0 resist>,,attack:377,force_strike:454,skill_1:198,skill_2:121,skill_3:257,team_buff:0,s2_poison:0,s1fs:35,fs_poison:0
-,60,kb
4394,Delphi,5*,shadow,dagger,3042,[Twinfold_Bonds+Stellar_Show][Marishiten],<s1 defdown for 10s & 0 resist>,,attack:458,force_strike:540,skill_1:218,skill_2:157,skill_3:310,team_buff:825,s2_poison:614,s1fs:45,fs_poison:1223
