-,60,_
3250,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1028,force_strike:91,skill_1:629,skill_2:297,skill_3:407,team_buff:121,s1_hit4:157,s2_boost:46,s1_hit1:154,s1_hit3:157,s1_hit2:157
2163,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:854,force_strike:76,skill_1:513,skill_2:245,skill_3:344,team_buff:0,s2_boost:0,s1_hit1:128
-,60,k
3575,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1131,force_strike:100,skill_1:692,skill_2:326,skill_3:448,team_buff:133,s1_hit4:173,s2_boost:51,s1_hit1:169,s1_hit3:173,s1_hit2:173
2379,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:940,force_strike:83,skill_1:564,skill_2:269,skill_3:379,team_buff:0,s2_boost:0,s1_hit1:141
-,60,r
3561,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1028,force_strike:91,skill_1:723,skill_2:341,skill_3:469,team_buff:131,s1_hit4:181,s2_boost:53,s1_hit1:177,s1_hit3:181,s1_hit2:181
2348,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:854,force_strike:76,skill_1:590,skill_2:282,skill_3:396,team_buff:0,s2_boost:0,s1_hit1:148
-,60,kr
3917,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1131,force_strike:100,skill_1:796,skill_2:375,skill_3:516,team_buff:144,s1_hit4:199,s2_boost:58,s1_hit1:195,s1_hit3:199,s1_hit2:199
2582,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:940,force_strike:83,skill_1:649,skill_2:310,skill_3:436,team_buff:0,s2_boost:0,s1_hit1:162
-,60,d
3250,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1028,force_strike:91,skill_1:629,skill_2:297,skill_3:407,team_buff:121,s1_hit4:157,s2_boost:46,s1_hit1:154,s1_hit3:157,s1_hit2:157
2163,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:854,force_strike:76,skill_1:513,skill_2:245,skill_3:344,team_buff:0,s2_boost:0,s1_hit1:128
-,60,kd
3575,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1131,force_strike:100,skill_1:692,skill_2:326,skill_3:448,team_buff:133,s1_hit4:173,s2_boost:51,s1_hit1:169,s1_hit3:173,s1_hit2:173
2379,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:940,force_strike:83,skill_1:564,skill_2:269,skill_3:379,team_buff:0,s2_boost:0,s1_hit1:141
-,60,b
3395,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:965,force_strike:92,skill_1:744,skill_2:445,skill_3:210,team_buff:127,s1_hit4:186,s2_boost:67,s1_hit1:183,s1_hit3:186,s1_hit2:186
2190,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:803,force_strike:76,skill_1:616,skill_2:367,skill_3:172,team_buff:0,s2_boost:0,s1_hit1:154
-,60,kb
3735,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1061,force_strike:101,skill_1:819,skill_2:489,skill_3:231,team_buff:140,s1_hit4:205,s2_boost:74,s1_hit1:201,s1_hit3:205,s1_hit2:205
2410,_c_W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],!<hp70 & hit15 & big hitbox & 80 resist>,,attack:884,force_strike:83,skill_1:677,skill_2:404,skill_3:189,team_buff:0,s2_boost:0,s1_hit1:170
-,60,rd
3561,W_Aoi,5星,风,匕,2999,[RR+FoG][Zephyr],<hp70 & hit15 & big hitbox & 80 resist>,,attack:1028,force_strike:91,skill_1:723,skill_2:341,skill_3:469,team_buff:131,s1_hit4:181,s2_boost:53,s1_hit1:177,s1_hit3:181,s1_hit2:181
