-,60,_
2824,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:515,force_strike:173,skill_1:976,skill_2:568,skill_3:484,team_buff:104,s2_boost:0
2176,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:405,force_strike:138,skill_1:791,skill_2:452,skill_3:389,team_buff:0,s2_boost:0
-,60,k
3106,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:567,force_strike:191,skill_1:1074,skill_2:625,skill_3:533,team_buff:114,s2_boost:0
2394,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:445,force_strike:152,skill_1:870,skill_2:497,skill_3:428,team_buff:0,s2_boost:0
-,60,r
3136,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:515,force_strike:173,skill_1:1123,skill_2:653,skill_3:557,team_buff:112,s2_boost:0
2421,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:405,force_strike:138,skill_1:909,skill_2:520,skill_3:447,team_buff:0,s2_boost:0
-,60,kr
3450,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:567,force_strike:191,skill_1:1235,skill_2:719,skill_3:613,team_buff:123,s2_boost:0
2664,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:445,force_strike:152,skill_1:1000,skill_2:572,skill_3:492,team_buff:0,s2_boost:0
-,60,d
3009,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:549,force_strike:185,skill_1:1040,skill_2:605,skill_3:516,team_buff:111,s2_boost:0
2327,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:433,force_strike:148,skill_1:845,skill_2:483,skill_3:415,team_buff:0,s2_boost:0
-,60,kd
3310,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:604,force_strike:203,skill_1:1144,skill_2:666,skill_3:568,team_buff:122,s2_boost:0
2559,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:476,force_strike:163,skill_1:930,skill_2:532,skill_3:457,team_buff:0,s2_boost:0
-,60,b
2824,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:515,force_strike:173,skill_1:976,skill_2:568,skill_3:484,team_buff:104,s2_boost:0
2176,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:405,force_strike:138,skill_1:791,skill_2:452,skill_3:389,team_buff:0,s2_boost:0
-,60,kb
3106,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:567,force_strike:191,skill_1:1074,skill_2:625,skill_3:533,team_buff:114,s2_boost:0
2394,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:445,force_strike:152,skill_1:870,skill_2:497,skill_3:428,team_buff:0,s2_boost:0
-,60,rd
3342,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:549,force_strike:185,skill_1:1197,skill_2:696,skill_3:593,team_buff:120,s2_boost:0
2589,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:433,force_strike:148,skill_1:972,skill_2:556,skill_3:478,team_buff:0,s2_boost:0
-,60,krd
3676,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:604,force_strike:203,skill_1:1316,skill_2:766,skill_3:653,team_buff:132,s2_boost:0
2847,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:476,force_strike:163,skill_1:1069,skill_2:611,skill_3:526,team_buff:0,s2_boost:0
-,60,rb
3136,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:515,force_strike:173,skill_1:1123,skill_2:653,skill_3:557,team_buff:112,s2_boost:0
2421,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:405,force_strike:138,skill_1:909,skill_2:520,skill_3:447,team_buff:0,s2_boost:0
-,60,krb
3450,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:567,force_strike:191,skill_1:1235,skill_2:719,skill_3:613,team_buff:123,s2_boost:0
2664,_c_Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi];dpsrange:(0~0),!<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:445,force_strike:152,skill_1:1000,skill_2:572,skill_3:492,team_buff:0,s2_boost:0
-,60,db
3009,Norwin,4星,暗,弓,2241,[RR+FoG][Shinobi],<hp70 & hit15 & 80 resist>,blind 3 times & c5+fs,attack:549,force_strike:185,skill_1:1040,skill_2:605,skill_3:516,team_buff:111,s2_boost:0
