-,60,_
3577,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:836,force_strike:531,skill_1:1095,skill_2:279,skill_3:0,team_buff:834
1888,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:893,force_strike:0,skill_1:665,skill_2:329,skill_3:0,team_buff:0
-,60,k
3935,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:920,force_strike:584,skill_1:1205,skill_2:306,skill_3:0,team_buff:917
2076,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:982,force_strike:0,skill_1:732,skill_2:361,skill_3:0,team_buff:0
-,60,r
3850,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:836,force_strike:531,skill_1:1259,skill_2:320,skill_3:0,team_buff:901
2037,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:893,force_strike:0,skill_1:765,skill_2:378,skill_3:0,team_buff:0
-,60,kr
4235,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:920,force_strike:584,skill_1:1385,skill_2:353,skill_3:0,team_buff:991
2241,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:982,force_strike:0,skill_1:842,skill_2:416,skill_3:0,team_buff:0
-,60,d
3790,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:884,force_strike:561,skill_1:1157,skill_2:294,skill_3:0,team_buff:892
2000,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:945,force_strike:0,skill_1:705,skill_2:349,skill_3:0,team_buff:0
-,60,kd
4169,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:972,force_strike:618,skill_1:1273,skill_2:323,skill_3:0,team_buff:982
2200,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:1040,force_strike:0,skill_1:775,skill_2:383,skill_3:0,team_buff:0
-,60,b
3577,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:836,force_strike:531,skill_1:1095,skill_2:279,skill_3:0,team_buff:834
1888,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:893,force_strike:0,skill_1:665,skill_2:329,skill_3:0,team_buff:0
-,60,kb
3935,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:920,force_strike:584,skill_1:1205,skill_2:306,skill_3:0,team_buff:917
2076,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:982,force_strike:0,skill_1:732,skill_2:361,skill_3:0,team_buff:0
-,60,rd
4079,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:884,force_strike:561,skill_1:1331,skill_2:338,skill_3:0,team_buff:964
2158,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:945,force_strike:0,skill_1:810,skill_2:401,skill_3:0,team_buff:0
-,60,krd
4487,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:972,force_strike:618,skill_1:1464,skill_2:372,skill_3:0,team_buff:1060
2373,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:1040,force_strike:0,skill_1:891,skill_2:441,skill_3:0,team_buff:0
-,60,rb
3850,Waike,3星,水,弓,2634,[RR+FoG],<c4+fs & hp70 & bog<=3 & hit15>,,attack:836,force_strike:531,skill_1:1259,skill_2:320,skill_3:0,team_buff:901
2037,_c_Waike,3星,水,弓,2634,[RR+FoG],!<c4+fs & hp70 & bog<=3 & hit15>,,attack:893,force_strike:0,skill_1:765,skill_2:378,skill_3:0,team_buff:0
-,60,krb
