dps,name,star,element,weapon,str,amulets,condition,comment,7273,Xander,5星,水,剑,2845,[Together_We_Stand+RR],<hp70>,10 stacks striker's strength,attack:1165,force_strike:1297,skill_1:3590,skill_2:1220,skill_3:0,team_buff:0
6955,_c_Xander,5星,水,剑,2845,[Together_We_Stand+RR],!<hp70>,10 stacks striker's strength,attack:1114,force_strike:1240,skill_1:3433,skill_2:1166,skill_3:0,team_buff:0
3086,Xander,5星,水,剑,2864,[Stellar_Show+LC],<hp70>,only 2+1,attack:1245,force_strike:1841,skill_1:0,skill_2:0,skill_3:0,team_buff:0
2876,_c_Xander,5星,水,剑,2864,[Stellar_Show+LC],!<hp70>,only 2+1,attack:1160,force_strike:1716,skill_1:0,skill_2:0,skill_3:0,team_buff:0
4510,Vanessa,4星,火,斧,2660,[KFM+Flower_in_the_Fray],<last offense>,void weapon vs HMS,attack:1497,force_strike:117,skill_1:1917,skill_2:794,skill_3:0,team_buff:183
4382,_c_Vanessa,4星,火,斧,2660,[KFM+Flower_in_the_Fray],!<last offense>,void weapon vs HMS,attack:1456,force_strike:117,skill_1:1855,skill_2:769,skill_3:0,team_buff:183
3531,Heinwald,5星,暗,奶,2907,[RR+Jewels_of_the_Sun],<hp70 & buff all teammates>,,attack:1230,force_strike:0,skill_1:1189,skill_2:0,skill_3:489,team_buff:622
2603,_c_Heinwald,5星,暗,奶,2907,[RR+Jewels_of_the_Sun],!<hp70 & buff all teammates>,,attack:1100,force_strike:0,skill_1:1064,skill_2:0,skill_3:437,team_buff:0
4945,Linyou,5星,风,斧,3190,[KFM+Flower_in_the_Fray],<hp70>,2in1 ; Zephyr,attack:1723,force_strike:0,skill_1:1999,skill_2:0,skill_3:591,team_buff:0,s1_powerup:631
4628,_c_Linyou,5星,风,斧,3190,[KFM+Flower_in_the_Fray],!<hp70>,2in1 ; Zephyr,attack:1613,force_strike:0,skill_1:1870,skill_2:0,skill_3:553,team_buff:0,s1_powerup:590
4233,Louise,5星,风,弓,2935,[Stellar_Show+Forest_Bonds], ,poison 3 times & roll fs & g_ranzal+lowen,attack:0,force_strike:1946,skill_1:1451,skill_2:679,skill_3:0,team_buff:0,s2hitpoison:90,s1_poison:65
6464,Veronica,5星,暗,法,2294,[FoG+Heralds_of_Hinomoto],<hp1 & hit15>,1hp; only c5 & s1; Shinobi;,attack:1116,force_strike:0,skill_1:2337,skill_2:0,skill_3:0,team_buff:88,s1_crisis:2921
3049,_c_Veronica,5星,暗,法,2294,[FoG+Heralds_of_Hinomoto],!<hp1 & hit15>,1hp; only c5 & s1; Shinobi;,attack:957,force_strike:0,skill_1:2003,skill_2:0,skill_3:0,team_buff:88
4847,Marth,5星,火,剑,3102,[The_Shining_Overlord+FoG],<hit15>,dodge*2 to miss s2p3 then dodge*2 back to attack,attack:907,force_strike:400,skill_1:1647,skill_2:141,skill_3:541,team_buff:1208
4192,_c_Marth,5星,火,剑,3102,[The_Shining_Overlord+FoG],!<hit15>,dodge*2 to miss s2p3 then dodge*2 back to attack,attack:744,force_strike:328,skill_1:1351,skill_2:116,skill_3:443,team_buff:1208
7137,Elisanne,4星,水,枪,2651,[Halidom_Grooms+Indelible_Summer], ,10000 team dps; no s2,attack:1715,force_strike:240,skill_1:0,skill_2:0,skill_3:0,team_buff:5181
5725,Melody,3星,风,刀,3040,[Halidom_Grooms+RR],<hp70 & hp100>,RR+Bellathorna & no s2 & 10000 team dps,attack:1952,force_strike:0,skill_1:0,skill_2:0,skill_3:800,team_buff:2973
5468,_c_Melody,3星,风,刀,3040,[Halidom_Grooms+RR],!<hp70 & hp100>,RR+Bellathorna & no s2 & 10000 team dps,attack:1769,force_strike:0,skill_1:0,skill_2:0,skill_3:725,team_buff:2973
4677,G_Mym,5星,火,枪,3140,[RR+CE],<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:863,force_strike:131,skill_1:1208,skill_2:515,skill_3:244,team_buff:0,d_ss:38,d_atk:1070,s2_boost:192,d_skl:412
4113,_c_G_Mym,5星,火,枪,3140,[RR+CE],!<hp70>,c5 fs; get 10% dp from enemy every 18s;,attack:759,force_strike:115,skill_1:1063,skill_2:453,skill_3:214,team_buff:0,d_ss:34,d_atk:941,s2_boost:168,d_skl:362
5206,G_Sarisse,5星,火,弓,2972,[Forest_Bonds+Stellar_Show],<rollfs & never lose combos>,,attack:0,force_strike:2025,skill_1:2878,skill_2:0,skill_3:0,team_buff:302
2886,_c_G_Sarisse,5星,火,弓,2972,[Forest_Bonds+Stellar_Show],!<rollfs & never lose combos>,,attack:981,force_strike:0,skill_1:1601,skill_2:0,skill_3:0,team_buff:302
4233,Laranoa,5星,水,弓,2700,[Forest_Bonds+Stellar_Show],<rollfs & buff all team & never lose comboes>,doesn't count spbuff for teammates,attack:0,force_strike:1943,skill_1:2071,skill_2:0,skill_3:0,team_buff:218
2644,_c_Laranoa,5星,水,弓,2700,[Forest_Bonds+Stellar_Show],!<rollfs & buff all team & never lose comboes>,doesn't count spbuff for teammates,attack:913,force_strike:0,skill_1:1730,skill_2:0,skill_3:0,team_buff:0
3589,Louise,5星,风,弓,2935,[Forest_Bonds+Stellar_Show],<rollfs>,poison*3,attack:0,force_strike:1597,skill_1:1169,skill_2:665,skill_3:0,team_buff:0,s2hitpoison:91,s1_poison:65
